title,venue,year,pages,author,url,month,comment,code
Banking Malware Detection: Leveraging Federated Learning with Conditional Model Updates and Client Data Heterogeneity,ICISSP,2024, (1): 309-319,"Nahid Ferdous Aurna, Md Delwar Hossain, Hideya Ochiai, Yuzo Taenaka, Latifur Khan, Youki Kadobayashi",https://doi.org/10.5220/0012409700003648,,Conference and Workshop Papers,
Federated Learning with Differential Privacy and an Untrusted Aggregator,ICISSP,2024, (1): 379-389,"Kunlong Liu, Trinabh Gupta",https://doi.org/10.5220/0012322100003648,,Conference and Workshop Papers,
Precision Guided Approach to Mitigate Data Poisoning Attacks in Federated Learning,arXiv/CoRR,2024,abs/2404.04139 (1): 1,"Kummari Naveen Kumar, C. Krishna Mohan, Aravind Machiry",https://doi.org/10.48550/arXiv.2404.04139,,Informal and Other Publications,
Mitigating Heterogeneity in Federated Multimodal Learning with Biomedical Vision-Language Pre-training,arXiv/CoRR,2024,abs/2404.03854 (1): 1,"Zitao Shuai, Liyue Shen",https://doi.org/10.48550/arXiv.2404.03854,,Informal and Other Publications,
Personalized Federated Learning for Spatio-Temporal Forecasting: A Dual Semantic Alignment-Based Contrastive Approach,arXiv/CoRR,2024,abs/2404.03702 (1): 1,"Qingxiang Liu, Sheng Sun, Yuxuan Liang, Jingjing Xue, Min Liu",https://doi.org/10.48550/arXiv.2404.03702,,Informal and Other Publications,
Approximate Gradient Coding for Privacy-Flexible Federated Learning with Non-IID Data,arXiv/CoRR,2024,abs/2404.03524 (1): 1,"Okko Makkonen, Sampo Niemelä, Camilla Hollanti, Serge Kas Hanna",https://doi.org/10.48550/arXiv.2404.03524,,Informal and Other Publications,
Robust Federated Learning for Wireless Networks: A Demonstration with Channel Estimation,arXiv/CoRR,2024,abs/2404.03088 (1): 1,"Zexin Fang, Bin Han, Hans D. Schotten",https://doi.org/10.48550/arXiv.2404.03088,,Informal and Other Publications,
An Interpretable Client Decision Tree Aggregation process for Federated Learning,arXiv/CoRR,2024,abs/2404.02510 (1): 1,"Alberto Argente-Garrido, Cristina Zuheros, María Victoria Luzón, Francisco Herrera",https://doi.org/10.48550/arXiv.2404.02510,,Informal and Other Publications,
FedSelect: Personalized Federated Learning with Customized Selection of Parameters for Fine-Tuning,arXiv/CoRR,2024,abs/2404.02478 (1): 1,"Rishub Tamirisa, Chulin Xie, Wenxuan Bao, Andy Zhou, Ron Arel, Aviv Shamsian",https://doi.org/10.48550/arXiv.2404.02478,,Informal and Other Publications,
Optimal Batch Allocation for Wireless Federated Learning,arXiv/CoRR,2024,abs/2404.02395 (1): 1,"Jaeyoung Song, Sang-Woon Jeon",https://doi.org/10.48550/arXiv.2404.02395,,Informal and Other Publications,
